2026-05-30 20:53:58,343 | DEBUG | sqlalchemy.engine.Engine | Row (1, 'descricao', 'VARCHAR(80)', 1, None, 0)
2026-05-30 20:53:58,343 | INFO | sqlalchemy.engine.Engine | PRAGMA main.table_info("cliente")
2026-05-30 20:53:58,344 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-05-30 20:53:58,345 | DEBUG | sqlalchemy.engine.Engine | Col ('cid', 'name', 'type', 'notnull', 'dflt_value', 'pk')
2026-05-30 20:53:58,345 | DEBUG | sqlalchemy.engine.Engine | Row (0, 'id_cliente', 'INTEGER', 1, None, 1)
2026-05-30 20:53:58,345 | DEBUG | sqlalchemy.engine.Engine | Row (1, 'nome', 'VARCHAR(120)', 1, None, 0)
2026-05-30 20:53:58,346 | DEBUG | sqlalchemy.engine.Engine | Row (2, 'cpf', 'VARCHAR(14)', 1, None, 0)
2026-05-30 20:53:58,346 | INFO | sqlalchemy.engine.Engine | PRAGMA main.table_info("endereco")
2026-05-30 20:53:58,346 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-05-30 20:53:58,347 | DEBUG | sqlalchemy.engine.Engine | Col ('cid', 'name', 'type', 'notnull', 'dflt_value', 'pk')
2026-05-30 20:53:58,347 | DEBUG | sqlalchemy.engine.Engine | Row (0, 'id_endereco', 'INTEGER', 1, None, 1)
2026-05-30 20:53:58,348 | DEBUG | sqlalchemy.engine.Engine | Row (1, 'id_cliente', 'INTEGER', 1, None, 0)
2026-05-30 20:53:58,348 | DEBUG | sqlalchemy.engine.Engine | Row (2, 'logradouro', 'VARCHAR(120)', 1, None, 0)
2026-05-30 20:53:58,348 | DEBUG | sqlalchemy.engine.Engine | Row (3, 'numero', 'VARCHAR(10)', 1, None, 0)
2026-05-30 20:53:58,348 | DEBUG | sqlalchemy.engine.Engine | Row (4, 'cidade', 'VARCHAR(80)', 1, None, 0)
2026-05-30 20:53:58,348 | DEBUG | sqlalchemy.engine.Engine | Row (5, 'estado', 'VARCHAR(2)', 1, None, 0)
2026-05-30 20:53:58,349 | INFO | sqlalchemy.engine.Engine | PRAGMA main.table_info("entrega")
2026-05-30 20:53:58,349 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-05-30 20:53:58,349 | DEBUG | sqlalchemy.engine.Engine | Col ('cid', 'name', 'type', 'notnull', 'dflt_value', 'pk')
2026-05-30 20:53:58,350 | DEBUG | sqlalchemy.engine.Engine | Row (0, 'id_entrega', 'INTEGER', 1, None, 1)
2026-05-30 20:53:58,350 | DEBUG | sqlalchemy.engine.Engine | Row (1, 'id_pedido', 'INTEGER', 1, None, 0)
2026-05-30 20:53:58,350 | DEBUG | sqlalchemy.engine.Engine | Row (2, 'id_motorista', 'INTEGER', 1, None, 0)
2026-05-30 20:53:58,350 | DEBUG | sqlalchemy.engine.Engine | Row (3, 'id_veiculo', 'INTEGER', 1, None, 0)
2026-05-30 20:53:58,350 | DEBUG | sqlalchemy.engine.Engine | Row (4, 'data_entrega', 'DATETIME', 1, None, 0)
2026-05-30 20:53:58,351 | INFO | sqlalchemy.engine.Engine | PRAGMA main.table_info("item_pedido")
2026-05-30 20:53:58,351 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-05-30 20:53:58,351 | DEBUG | sqlalchemy.engine.Engine | Col ('cid', 'name', 'type', 'notnull', 'dflt_value', 'pk')
2026-05-30 20:53:58,351 | DEBUG | sqlalchemy.engine.Engine | Row (0, 'id_item_pedido', 'INTEGER', 1, None, 1)
